id,valor,peso,volumen,categoria
123,625,200,62,8
124,900,181,137,3
125,587,125,78,3
126,313,37,102,5
127,384,141,103,10
128,284,11,96,8
129,929,12,22,1
130,28,90,134,8
131,363,141,128,6
132,922,41,3,10
133,752,67,126,2
134,808,107,9,10
135,5,140,18,4
136,16,100,67,5
137,647,27,118,2
138,35,49,79,4
139,448,46,90,0
140,544,73,111,6
141,425,77,4,1
142,393,30,120,3
143,701,199,131,7
144,727,50,82,3
145,161,100,6,5
146,497,187,133,5
147,55,134,100,4
148,296,62,109,9
149,988,177,132,0
150,902,26,88,6
151,685,159,117,2
152,128,173,80,1
153,630,14,38,8
154,51,13,24,1
155,265,33,34,2
156,356,3,97,10
157,527,183,51,0
158,248,8,142,9
159,180,5,10,6
160,482,117,96,1
161,375,188,53,8
162,511,34,21,5
163,251,13,103,0
164,430,177,94,4
165,759,175,114,5
166,775,74,7,8
167,608,39,94,7
168,350,81,37,2
169,219,187,9,4
170,679,143,7,1
171,818,75,105,6
172,135,10,101,6
173,869,24,114,11
174,940,167,59,10
175,767,144,23,0
176,78,54,96,2
177,275,200,5,9
178,996,167,109,0
179,850,32,89,10
180,152,70,60,10
181,642,74,107,2
182,752,41,30,1
183,955,67,80,10
184,146,22,59,11
185,888,135,107,1
186,744,101,27,0
187,654,64,10,4
188,971,63,15,11
189,772,102,149,4
190,803,49,61,5
191,761,81,16,2
192,429,190,48,4
193,935,184,121,3
194,153,158,84,0
195,521,63,10,1
196,387,77,150,0
197,441,108,112,0
198,561,111,107,9
199,376,159,100,9
200,424,147,133,10
201,863,110,15,0
202,771,116,125,6
203,423,106,112,6
204,739,186,107,3
205,934,41,126,10
206,182,54,33,1
207,467,135,132,2
208,999,179,19,10
209,882,11,132,7
210,493,66,145,8
211,525,1,93,6
212,732,21,16,3
213,870,48,95,11
214,191,45,88,6
215,28,90,24,7
216,818,21,44,11
217,639,73,98,11
218,204,97,76,8
219,374,59,29,11
220,434,196,102,5
221,489,27,118,5
222,523,35,118,9
223,571,187,50,2
224,653,134,81,9
225,236,122,6,1
226,462,78,12,6
227,937,152,129,10
228,327,165,52,10
229,176,155,81,7
230,344,55,105,10
231,466,176,40,3
232,261,16,75,6
233,557,106,112,2
234,662,22,120,0
235,356,184,86,1
236,10,133,138,10
237,246,62,70,2
238,690,20,69,2
239,897,142,109,3
240,712,87,1,2
241,48,170,145,10
242,579,52,123,0
243,578,156,122,2
244,626,33,94,5
245,676,50,7,9
246,144,4,85,5
247,741,77,18,11
248,886,134,67,8
249,347,30,108,0
250,148,138,68,0
251,501,158,5,6
252,380,133,35,7
253,593,52,117,5
254,258,21,137,11
255,507,75,78,9
256,290,102,102,2
257,807,58,72,2
258,474,127,2,0
259,610,103,22,9
260,167,83,149,5
261,416,170,129,9
262,868,198,45,4
263,354,125,26,4
264,659,167,2,10
265,386,53,48,1
266,518,182,148,0
267,15,153,37,6
268,116,199,113,3
269,485,144,148,1
270,98,166,17,4
271,604,153,83,2
272,254,142,2,0
273,157,22,33,7
274,774,46,67,3
275,583,185,35,7
276,13,99,94,5
277,476,157,71,1
278,719,140,13,5
279,798,133,48,5
280,818,70,28,8
281,928,26,56,10
282,534,152,128,9
283,303,181,107,7
284,44,70,18,1
285,432,186,56,6
286,367,175,21,0
287,312,84,12,3
288,699,119,135,11
289,711,8,65,0
290,330,157,12,2
291,528,70,15,0
292,763,74,87,4
293,695,111,55,2
294,386,29,7,1
295,858,187,22,7
296,14,148,101,4
297,463,179,147,10
298,303,43,20,6
299,811,8,82,2
300,295,158,118,11
301,413,12,142,7
302,936,22,29,1
303,629,102,142,6
304,974,92,55,3
305,521,172,129,1
306,363,150,60,10
307,78,130,62,10
308,546,127,49,7
309,705,51,149,10
310,555,23,76,7
311,774,160,15,5
312,915,70,84,0
313,219,177,133,9
314,488,6,122,0
315,449,187,93,4
316,929,198,75,3
317,628,159,104,2
318,880,29,21,1
319,546,104,38,3
320,194,46,10,11
321,340,134,91,7
322,664,79,78,1
323,62,85,63,10
324,852,150,80,11
325,815,4,8,1
326,199,17,145,1
327,175,38,64,3
328,926,153,35,7
329,648,58,70,5
330,598,25,52,4
331,474,192,23,1
332,568,7,86,4
333,33,130,85,10
334,318,124,33,8
335,890,75,69,5
336,412,46,39,8
337,454,172,86,5
338,764,83,12,9
339,500,123,1,9
340,273,141,53,5
341,774,184,135,5
342,464,160,145,9
343,995,106,132,4
344,200,91,56,9
345,717,193,138,1
346,657,154,125,7
347,619,7,52,8
348,599,29,119,3
349,800,70,136,11
350,68,104,76,10
351,564,176,11,8
352,835,18,46,4
353,817,16,68,11
354,450,110,121,4
355,601,42,78,1
356,195,160,72,5
357,451,19,74,10
358,242,34,58,7
359,598,194,147,8
360,997,192,11,2
361,377,160,145,5
362,646,99,27,2
363,9,24,87,2
364,289,34,113,0
365,404,87,133,5
366,876,96,113,0
367,237,67,92,9
368,875,13,108,6
369,200,91,23,10
370,41,190,74,5
371,557,68,68,0
372,214,190,132,5
373,845,16,123,1
374,155,91,102,1
375,572,7,74,3
376,332,8,109,5
377,951,192,64,6
378,715,150,120,4
379,178,46,42,7
380,446,197,57,7
381,586,163,112,2
382,255,60,68,2
383,448,170,126,8
384,233,82,115,9
385,311,175,14,9
386,799,145,102,5
387,689,137,84,3
388,195,81,19,0
389,227,30,83,10
390,638,187,94,8
391,490,51,138,8
392,310,196,115,4
393,800,190,31,0
394,74,161,36,10
395,373,116,112,8
396,780,153,103,5
397,566,195,77,4
398,338,77,2,6
399,131,1,92,11
400,212,182,85,4
401,672,167,132,8
402,922,22,140,9
403,332,113,36,8
404,369,81,150,1
405,859,145,120,1
406,482,111,106,0
407,131,175,124,5
408,369,179,57,10
409,166,89,127,4
410,597,65,78,8
411,406,43,8,11
412,361,46,54,11
413,549,48,101,5
414,793,49,110,4
415,165,57,45,5
416,850,99,146,0
417,499,141,113,9
418,980,80,109,11
419,587,10,3,10
420,926,50,137,2
421,778,74,124,11
422,559,62,13,10
423,122,31,40,3
424,20,95,38,6
425,823,123,21,7
426,204,190,136,4
427,948,6,61,1
428,520,29,63,3
429,860,106,22,4
430,572,189,103,9
431,817,108,45,10
432,899,15,124,3
433,619,25,20,5
434,416,129,97,11
435,293,152,52,11
436,522,135,7,6
437,732,63,42,6
438,556,118,101,11
439,166,107,63,4
440,440,5,147,8
441,756,57,65,6
442,832,191,86,7
443,746,163,26,10
444,25,70,107,11
445,885,154,19,4
446,195,168,84,3
447,770,164,101,9
448,931,176,90,8
449,430,22,12,3
450,796,181,108,4
451,965,73,1,7
452,507,10,28,8
453,776,4,32,0
454,57,4,119,9
455,185,170,52,3
456,414,129,52,2
457,589,184,124,5
458,786,73,90,1
459,623,181,79,11
460,246,54,50,5
461,124,106,136,10
462,873,122,22,9
463,583,12,143,4
464,210,172,36,6
465,295,75,83,0
466,879,115,89,8
467,881,2,137,4
468,355,13,143,9
469,500,12,64,11
470,803,127,16,8
471,264,120,121,5
472,951,59,118,1
473,825,146,4,1
474,884,199,35,10
475,763,185,2,7
476,439,11,74,3
477,231,2,67,6
478,874,113,46,11
479,797,171,119,6
480,147,75,107,2
481,174,102,36,10
482,49,183,56,10
483,812,159,82,0
484,294,183,13,6
485,223,116,115,11
486,738,30,118,1
487,486,179,13,2
488,115,188,72,1
489,253,197,69,4
490,704,96,125,8
491,856,3,117,1
492,683,101,125,10
493,201,34,9,1
494,254,189,42,8
495,615,13,44,3
496,950,45,121,2
497,726,68,103,1
498,735,105,137,10
499,40,5,134,1
500,205,165,53,10
501,249,91,7,1
502,542,147,26,4
503,479,48,19,10
504,899,115,41,4
505,174,136,119,0
506,689,113,75,3
507,322,19,42,0
508,517,160,58,6
509,198,124,52,8
510,541,31,2,2
511,117,94,10,2
512,735,128,150,5
513,743,197,88,3
514,300,131,125,8
515,136,72,91,2
516,112,69,48,9
517,474,145,107,11
518,904,5,6,2
519,24,174,86,7
520,246,50,144,5
521,531,18,47,1
522,991,122,122,5
523,264,36,59,11
524,702,39,139,3
525,431,151,41,6
526,643,55,116,0
527,653,67,144,7
528,753,40,150,4
529,265,99,16,7
530,595,38,57,7
531,748,96,145,2
532,698,41,128,6
533,446,198,67,7
534,213,53,18,0
535,922,107,91,2
536,354,37,109,7
537,195,180,13,3
538,323,63,117,0
539,810,180,101,8
540,199,101,105,4
541,876,119,97,11
542,89,153,145,10
543,666,142,71,4
544,545,94,95,1
545,581,20,57,9
546,499,30,54,9
547,524,157,117,5
548,554,31,65,0
549,955,75,75,8
550,790,58,117,1
551,252,47,30,5
552,629,173,10,2
553,534,173,106,5
554,607,175,53,5
555,284,63,65,6
556,902,46,13,9
557,558,96,4,2
558,888,90,58,1
559,582,121,84,3
560,772,107,52,2
561,638,67,123,7
562,24,152,8,4
563,101,113,127,0
564,737,164,104,0
565,288,186,94,10
566,472,78,84,2
567,539,23,119,1
568,358,119,19,8
569,972,142,113,4
570,484,107,29,9
571,641,30,46,8
572,699,192,29,1
573,149,177,55,1
574,558,74,43,3
575,553,102,21,4
576,741,197,83,11
577,718,165,21,11
578,549,1,147,0
579,335,131,142,9
580,999,148,72,1
581,718,118,121,9
582,559,147,115,4
583,622,54,60,5
584,344,146,95,0
585,70,195,110,4
586,990,38,8,4
587,738,132,83,4
588,596,138,54,1
589,620,183,2,5
590,331,76,107,5
591,97,90,32,4
592,864,62,139,5
593,142,178,99,8
594,641,186,24,9
595,437,85,96,4
596,245,166,10,8
597,664,194,78,0
598,68,191,122,1
599,324,21,42,9
600,895,193,7,11
601,482,5,106,3
602,727,199,106,6
603,260,112,8,9
604,960,36,29,4
605,154,68,31,0
606,935,90,81,8
607,350,125,13,8
608,922,184,15,8
609,676,31,127,5
610,713,77,148,6
611,920,53,36,2
612,383,73,20,4
613,45,188,122,4
614,496,53,28,2
615,861,74,79,9
616,709,5,26,1
617,249,29,74,11
618,458,155,39,2
619,844,52,67,10
620,594,186,123,7
621,516,1,65,0
622,24,170,110,6
623,387,28,108,5
624,516,157,103,7
625,796,161,58,7
626,636,125,43,6
627,307,30,133,0
628,424,181,117,8
629,841,68,89,4
630,657,162,74,8
631,866,55,10,8
632,818,162,127,4
633,140,37,91,5
634,280,22,103,4
635,597,138,96,6
636,347,197,115,8
637,856,9,100,10
638,375,84,136,2
639,275,87,118,10
640,450,7,129,1
641,264,33,150,5
642,397,125,22,6
643,845,55,55,7
644,843,189,84,5
645,205,125,67,10
646,64,5,86,3
647,985,192,124,8
648,571,142,73,8
649,105,197,60,6
650,677,89,31,5
651,952,171,1,9
652,500,136,40,8
653,826,2,40,7
654,726,35,99,5
655,927,23,59,11
656,649,144,52,6
657,312,142,50,5
658,438,200,61,8
659,838,13,101,2
660,803,158,120,1
661,290,99,62,2
662,38,173,115,9
663,852,73,14,8
664,875,144,52,6
665,820,175,11,8
666,667,135,14,6
667,238,170,47,6
668,865,195,81,6
669,727,45,141,3
670,94,38,48,1
671,797,142,83,6
672,909,129,146,4
673,114,157,54,3
674,977,39,47,8
675,892,169,123,8
676,933,176,82,8
677,755,2,40,2
678,574,192,24,8
679,694,110,92,5
680,228,170,70,7
681,663,116,63,2
682,664,137,141,9
683,151,112,67,8
684,83,29,127,2
685,89,61,30,8
686,863,62,69,9
687,209,90,1,4
688,63,123,66,6
689,595,129,22,8
690,114,110,65,8
691,112,147,72,2
692,708,172,32,2
693,308,120,7,9
694,570,42,30,2
695,197,161,132,2
696,128,31,121,8
697,928,34,62,8
698,41,184,149,9
699,513,113,143,6
700,456,36,44,5
701,683,63,4,1
702,933,17,98,7
703,850,154,113,1
704,697,145,133,2
705,843,140,117,4
706,303,117,122,0
707,174,131,42,11
708,871,193,85,9
709,100,20,19,5
710,991,38,50,5
711,722,59,37,9
712,379,169,119,7
713,574,16,136,2
714,783,184,41,11
715,290,15,137,11
716,416,186,94,10
717,306,52,44,1
718,936,199,79,1
719,601,99,99,8
720,303,141,57,2
721,47,163,103,0
722,282,165,116,11
723,285,143,30,6
724,417,2,19,6
725,951,130,58,11
726,242,52,146,7
727,715,63,79,1
728,212,46,131,2
729,728,83,3,10
730,247,166,79,0
731,949,42,40,6
732,49,115,25,6
733,407,164,66,0
734,269,152,50,6
735,133,23,43,11
736,352,32,26,10
737,544,44,87,4
738,97,44,26,10
739,704,53,88,2
740,743,191,75,3
741,41,6,5,2
742,433,34,123,11
743,656,186,2,0
744,972,200,128,5
745,7,179,141,6
746,427,75,96,0
747,476,190,62,6
748,129,142,27,2
749,372,23,139,10
750,344,42,100,6
751,645,86,13,9
752,313,14,71,1
753,326,64,25,0
754,111,130,112,7
755,818,180,71,0
756,613,154,51,4
757,643,68,6,1
758,411,38,132,2
759,879,160,35,11
760,135,10,98,5
761,399,45,55,7
762,998,41,37,6
763,970,151,102,10
764,968,109,78,10
765,99,8,108,4
766,779,166,47,9
767,833,23,9,6
768,879,116,131,7
769,69,83,42,10
770,732,16,70,11
771,793,141,29,8
772,356,194,30,9
773,5,166,82,8
774,442,169,99,9
775,539,62,48,1
776,813,45,39,6
777,682,125,22,11
778,167,49,54,3
779,652,57,88,8
780,241,79,150,9
781,649,48,4,5
782,272,65,115,1
783,532,183,144,9
784,589,122,99,10
785,177,88,50,7
786,792,143,60,6
787,142,134,83,6
788,903,136,26,4
789,650,178,71,9
790,892,105,97,5
791,724,143,24,8
792,242,195,28,5
793,300,87,116,11
794,761,62,95,11
795,492,134,20,5
796,275,172,52,1
797,709,115,34,6
798,695,34,40,8
799,58,99,49,0
800,137,120,96,0
801,845,171,103,9
802,233,89,46,10
803,216,94,49,4
804,259,49,8,10
805,96,68,144,5
806,117,58,7,5
807,900,12,40,8
808,464,122,36,2
809,805,7,59,3
810,338,14,96,8
811,486,122,30,0
812,115,62,114,4
813,678,101,52,5
814,533,178,23,0
815,94,57,5,7
816,751,50,37,9
817,384,88,13,11
818,962,6,68,10
819,690,138,117,3
820,947,102,87,2
821,188,113,63,8
822,847,187,11,1
823,998,51,18,6
824,818,153,39,1
825,900,82,141,0
826,198,34,90,9
827,901,147,148,10
828,554,77,138,8
829,195,75,63,3
830,454,22,106,4
831,104,20,8,0
832,872,9,129,10
833,209,47,15,8
834,85,64,143,3
835,572,80,66,4
836,557,123,51,7
837,653,1,89,2
838,377,121,33,7
839,423,18,128,2
840,132,153,28,2
841,559,197,110,4
842,108,10,81,1
843,545,164,116,11
844,59,59,32,3
845,860,18,81,10
846,677,161,26,5
847,80,69,106,6
848,89,141,50,6
849,938,177,72,5
850,578,49,138,0
851,700,61,36,5
852,837,122,143,2
853,355,160,32,7
854,997,191,6,7
855,874,59,38,10
856,889,170,77,4
857,731,102,87,9
858,97,131,31,7
859,564,132,5,1
860,144,174,101,7
861,534,81,76,1
862,510,160,102,5
863,653,3,20,0
864,241,43,83,4
865,909,7,38,8
866,57,139,37,1
867,936,58,11,4
868,312,184,47,2
869,11,153,91,7
870,393,68,85,7
871,709,141,67,3
872,233,138,100,3
873,792,132,32,0
874,139,32,25,2
875,258,102,7,1
876,66,43,19,4
877,966,31,52,10
878,587,133,18,4
879,832,3,116,3
880,150,47,138,0
881,793,94,150,6
882,961,149,46,6
883,751,184,52,0
884,116,174,36,4
885,373,20,61,6
886,573,189,16,9
887,235,127,73,5
888,67,104,115,5
889,47,184,50,0
890,772,152,11,9
891,521,167,66,8
892,90,164,112,7
893,359,108,25,0
894,299,141,83,10
895,699,182,79,10
896,787,114,57,7
897,259,111,141,9
898,217,187,49,0
899,79,103,49,0
900,126,22,4,11
901,590,28,41,1
902,632,96,90,11
903,926,30,95,3
904,350,94,145,0
905,313,155,15,1
906,459,9,14,4
907,994,150,46,8
908,430,38,100,3
909,535,104,65,0
910,416,31,68,5
911,545,21,42,6
912,823,75,47,7
913,293,34,66,7
914,803,196,121,3
915,193,177,68,11
916,781,151,146,4
917,744,73,69,10
918,632,184,4,11
919,1000,134,79,4
920,617,2,123,9
921,55,171,64,7
922,200,29,114,3
923,123,25,79,7
924,415,10,114,10
925,590,27,11,11
926,431,133,143,0
927,124,162,44,8
928,588,70,139,10
929,168,33,140,0
930,546,168,126,10
931,311,3,11,1
932,150,49,149,10
933,214,166,13,1
934,22,7,119,6
935,679,180,122,7
936,783,57,6,11
937,554,193,21,7
938,903,111,147,1
939,396,91,94,10
940,403,187,126,9
941,134,118,30,1
942,485,125,95,2
943,147,26,79,7
944,717,147,64,5
945,533,77,98,1
946,891,154,62,8
947,519,101,101,3
948,205,152,29,2
949,276,120,98,2
950,707,128,118,5
951,1000,18,47,10
952,766,180,134,9
953,253,58,17,8
954,372,141,35,4
955,454,186,23,1
956,846,159,14,10
957,383,41,27,4
958,482,139,67,4
959,326,77,45,8
960,347,28,127,7
961,974,191,125,3
962,878,43,121,8
963,617,105,22,6
964,866,185,130,0
965,601,33,2,7
966,36,182,128,8
967,959,40,12,3
968,597,152,54,7
969,558,46,100,2
970,460,17,18,3
971,673,117,46,1
972,434,125,37,8
973,442,112,77,11
974,713,100,101,3
975,22,104,29,2
976,999,52,147,0
977,631,148,147,8
978,646,172,28,5
979,649,64,121,7
980,75,24,21,0
981,180,68,67,5
982,297,145,76,3
983,790,174,149,7
984,493,187,22,11
985,936,25,1,5
986,613,39,54,2
987,439,88,73,1
988,236,117,13,2
989,591,76,55,1
990,811,182,95,0
991,714,167,94,10
992,323,4,63,4
993,179,59,88,7
994,743,20,133,3
995,523,115,18,1
996,425,165,93,1
997,774,69,103,3
998,789,120,57,0
999,977,193,81,3
1000,681,36,7,11
1001,609,135,52,1
1002,814,172,128,6
1003,264,10,70,0
1004,123,151,98,5
1005,861,47,58,1
1006,777,188,15,10
1007,673,16,55,0
1008,175,27,75,4
1009,28,34,62,4
1010,629,103,101,3
1011,688,154,113,8
1012,291,7,146,10
1013,419,53,4,11
1014,878,172,85,6
1015,183,15,7,8
1016,395,16,128,6
1017,901,158,111,8
1018,193,23,90,10
1019,358,98,36,5
1020,707,150,1,3
1021,160,48,30,6
1022,786,9,127,4
1023,577,107,67,2
1024,270,191,68,10
1025,441,55,34,6
1026,824,35,56,5
1027,674,95,146,4
1028,226,86,130,2
1029,347,150,2,6
1030,643,124,119,2
1031,368,60,46,1
1032,822,174,3,0
1033,817,154,118,6
1034,274,170,93,4
1035,873,3,102,9
1036,259,149,93,6
1037,137,31,140,4
1038,414,143,4,8
1039,67,76,104,4
1040,853,95,28,3
1041,97,31,68,5
1042,456,102,135,4
1043,502,195,91,3
1044,764,150,60,0
1045,742,123,17,4
1046,523,19,75,11
1047,72,143,127,0
1048,812,179,119,8
1049,706,81,150,0
1050,737,50,135,8
1051,928,148,1,10
1052,381,194,14,4
1053,179,198,125,3
1054,33,68,39,7
1055,607,65,117,0
1056,74,91,142,3
1057,56,2,128,5
1058,872,188,83,11
1059,260,180,89,1
1060,534,6,145,0
1061,440,11,124,2
1062,127,134,65,2
1063,732,72,58,4
1064,42,25,99,8
1065,347,58,12,8
1066,114,13,5,3
1067,975,136,21,1
1068,287,175,30,8
1069,421,155,24,2
1070,169,124,147,5
1071,727,140,26,7
1072,485,16,51,9
1073,547,109,87,4
1074,776,30,105,7
1075,292,175,129,7
1076,740,35,136,2
1077,251,134,18,1
1078,348,9,84,8
1079,443,64,27,3
1080,380,30,24,6
1081,71,146,9,1
1082,292,177,138,5
1083,366,10,28,3
1084,523,142,48,1
1085,212,57,6,1
1086,269,93,83,1
1087,730,199,148,10
1088,907,79,55,0
1089,819,92,4,7
1090,593,153,123,2
1091,940,66,52,9
1092,937,106,124,9
1093,322,58,60,7
1094,18,52,53,9
1095,89,170,124,3
1096,483,31,47,1
1097,87,95,25,1
1098,443,141,15,7
1099,929,101,137,11
1100,434,58,10,2
1101,953,65,13,4
1102,289,156,92,4
1103,937,96,85,8
1104,262,31,29,2
1105,906,52,56,1
1106,552,60,6,8
1107,392,140,62,7
1108,865,21,31,5
1109,445,167,149,0
1110,721,112,74,1
1111,450,13,96,4
1112,978,51,17,1
1113,410,194,13,5
1114,886,50,109,5
1115,374,48,23,2
1116,418,29,100,9
1117,445,80,119,11
1118,527,52,65,8
1119,833,89,117,0
1120,52,56,114,2
1121,687,39,113,4
1122,192,106,115,0
1123,503,168,114,5
1124,714,38,56,10
1125,231,38,45,2
1126,375,181,76,0
1127,820,156,109,6
1128,93,95,97,5
1129,796,114,101,6
1130,145,98,30,5
1131,894,128,119,2
1132,988,48,32,7
1133,362,144,134,0
1134,970,69,87,0
1135,160,60,132,2
1136,246,137,35,0
1137,15,69,113,8
1138,701,7,128,3
1139,252,155,2,7
1140,505,83,53,4
1141,890,100,103,10
1142,718,24,52,2
1143,913,179,84,9
1144,867,114,128,7
1145,114,27,36,0
1146,989,31,88,1
1147,541,67,98,1
1148,669,36,63,8
1149,749,176,4,10
1150,913,135,15,11
1151,363,165,113,5
1152,602,199,45,7
1153,92,147,108,5
1154,364,46,135,8
1155,252,19,89,9
1156,856,85,48,8
1157,312,163,84,9
1158,585,114,111,7
1159,952,117,20,10
1160,911,135,67,3
1161,759,111,53,1
1162,707,93,135,3
1163,322,113,87,2
1164,682,70,93,5
1165,11,9,95,10
1166,657,9,6,1
1167,513,41,84,2
1168,275,98,105,8
1169,884,59,138,11
1170,130,89,137,2
1171,767,99,76,9
1172,761,82,121,2
1173,841,125,125,10
1174,825,170,53,10
1175,727,53,56,7
1176,422,68,68,0
1177,174,150,139,3
1178,178,35,98,0
1179,244,105,5,11
1180,199,117,77,6
1181,511,75,114,1
1182,655,127,66,3
1183,300,128,32,7
1184,617,49,2,5
1185,976,153,63,8
1186,856,3,11,11
1187,632,139,131,4
1188,514,168,126,3
1189,128,31,132,8
1190,171,179,74,0
1191,116,37,143,11
1192,440,183,39,8
1193,926,187,82,10
1194,372,98,52,3
1195,13,111,82,3
1196,456,53,1,4
1197,694,176,56,3
1198,126,84,126,5
1199,329,31,120,5
1200,153,198,3,2
1201,30,93,75,1
1202,591,190,20,8
1203,991,54,130,0
1204,569,82,137,11
1205,791,148,60,8
1206,49,18,107,2
1207,577,154,113,9
1208,11,124,12,7
1209,773,58,53,9
1210,765,129,85,0
1211,513,18,77,10
1212,27,118,144,6
1213,116,147,130,10
1214,432,175,44,2
1215,607,87,25,11
1216,50,169,51,2
1217,943,199,86,4
1218,602,125,72,5
1219,153,78,112,6
1220,197,132,92,11
1221,938,43,21,5
1222,853,151,99,1
1223,835,152,144,4
1224,242,173,137,0
1225,409,58,130,1
1226,378,75,54,8
1227,56,23,144,10
1228,628,53,124,6
1229,586,53,141,4
1230,828,175,86,1
1231,824,65,117,8
1232,363,33,68,3
1233,93,150,91,1
1234,682,36,62,6
1235,112,118,2,5
1236,819,79,68,7
1237,944,41,30,5
1238,592,105,30,8
1239,283,10,6,11
1240,594,155,26,7
1241,429,10,130,11
1242,829,88,41,3
1243,212,160,7,7
1244,91,83,43,1
1245,248,130,30,2
1246,549,148,26,9
1247,415,131,138,1
1248,726,180,80,3
1249,542,139,44,6
1250,665,6,77,9
1251,469,144,80,11
1252,929,77,24,2
1253,28,75,47,11
1254,338,125,139,3
1255,755,144,136,11
1256,791,82,30,1
1257,590,48,63,5
1258,587,65,92,4
1259,840,150,38,4
1260,552,130,53,6
1261,418,165,145,0
1262,538,31,113,8
1263,283,11,65,11
1264,239,130,114,1
1265,853,178,20,8
1266,263,10,35,1
1267,314,65,43,3
1268,998,17,143,1
1269,559,42,46,4
1270,983,6,26,0
1271,142,191,92,0
1272,811,153,46,2
1273,459,144,144,1
1274,618,124,56,2
1275,965,112,71,8
1276,70,76,95,0
1277,438,34,142,3
1278,702,200,115,11
1279,262,173,1,0
1280,407,175,40,5
1281,908,114,83,2
1282,550,8,77,9
1283,600,115,149,9
1284,191,77,74,2
1285,678,131,11,10
1286,251,152,46,10
1287,785,157,47,4
1288,11,185,31,11
1289,177,45,30,1
1290,180,165,100,4
1291,896,78,150,4
1292,160,163,42,0
1293,237,156,104,8
1294,44,176,15,9
1295,675,114,50,9
1296,408,153,94,3
1297,777,143,93,6
1298,328,1,97,4
1299,921,3,45,7
1300,368,182,142,10
1301,152,85,56,8
1302,899,10,48,7
1303,218,33,148,10
1304,256,198,52,4
1305,432,189,150,10
1306,264,2,138,5
1307,639,62,102,9
1308,978,198,72,1
1309,603,20,52,11
1310,826,198,26,5
1311,367,43,4,1
1312,659,86,148,8
1313,693,170,22,6
1314,257,23,62,3
1315,784,193,110,5
1316,858,188,118,5
1317,618,41,39,7
1318,54,195,29,7
1319,158,128,117,4
1320,751,175,35,9
1321,548,105,135,1
1322,877,61,128,9
1323,926,21,73,8
1324,601,196,86,1
1325,5,182,108,11
1326,566,41,134,7
1327,357,79,106,5
1328,808,175,64,2
1329,442,38,23,1
1330,748,43,118,11
1331,813,157,72,9
1332,205,167,18,11
1333,524,135,99,6
1334,315,156,30,7
1335,180,145,106,4
1336,115,88,26,10
1337,950,4,130,8
1338,241,149,66,2
1339,290,186,138,0
1340,281,103,125,1
1341,759,78,65,9
1342,756,113,48,8
1343,474,147,148,6
1344,107,99,108,7
1345,384,27,36,1
1346,258,38,145,1
1347,25,108,123,3
1348,17,46,118,1
1349,395,166,89,11
1350,492,181,123,4
1351,186,154,39,10
1352,889,61,83,9
1353,947,191,65,6
1354,65,15,9,0
1355,884,82,30,7
1356,728,157,41,3
1357,183,5,118,10
1358,426,55,6,1
1359,686,141,76,5
